color,correct,group,response,rt,time_elapsed,trial_type,pid
blue,TRUE,daxby,d,760,59163,robot,27
blue,FALSE,kizik,d,1185,64431,robot,27
yellow,FALSE,kizik,d,1443,69877,robot,27
blue,FALSE,kizik,d,1462,75344,robot,27
yellow,FALSE,daxby,k,1470,80840,robot,27
blue,FALSE,kizik,d,473,85317,robot,27
yellow,TRUE,daxby,d,312,89647,robot,27
yellow,TRUE,daxby,d,477,94140,robot,27
blue,TRUE,daxby,d,340,98487,robot,27
blue,TRUE,daxby,d,363,102859,robot,27
yellow,TRUE,daxby,d,357,107246,robot,27
yellow,FALSE,kizik,d,274,111526,robot,27
blue,TRUE,daxby,d,476,116007,robot,27
blue,TRUE,daxby,d,328,120341,robot,27
yellow,TRUE,kizik,k,3795,186134,robot,12
blue,FALSE,kizik,d,1499,191639,robot,12
yellow,FALSE,daxby,k,949,196593,robot,12
blue,FALSE,daxby,k,1880,202476,robot,12
blue,TRUE,daxby,d,1442,207925,robot,12
blue,FALSE,kizik,d,1016,212947,robot,12
blue,FALSE,daxby,k,581,217531,robot,12
blue,TRUE,daxby,d,657,222192,robot,12
yellow,TRUE,kizik,k,679,226876,robot,12
blue,FALSE,daxby,k,3389,252293,robot,12
blue,FALSE,daxby,k,519,256817,robot,12
yellow,TRUE,daxby,d,473,261296,robot,12
blue,TRUE,daxby,d,484,265784,robot,12
blue,TRUE,daxby,d,643,270431,robot,12
yellow,TRUE,daxby,d,414,274849,robot,12
yellow,TRUE,daxby,d,440,279295,robot,12
blue,FALSE,kizik,d,323,283624,robot,12
blue,FALSE,kizik,d,397,288028,robot,12
yellow,TRUE,daxby,d,2730,42167,robot,8
blue,FALSE,daxby,k,1327,47497,robot,8
blue,FALSE,daxby,k,848,52348,robot,8
yellow,FALSE,daxby,k,529,56882,robot,8
blue,TRUE,daxby,d,269,61156,robot,8
blue,TRUE,daxby,d,523,65680,robot,8
yellow,TRUE,daxby,d,464,70151,robot,8
blue,FALSE,kizik,d,665,74819,robot,8
blue,FALSE,kizik,d,254,79076,robot,8
blue,TRUE,daxby,d,1407,97426,robot,8
blue,TRUE,daxby,d,285,101714,robot,8
yellow,TRUE,kizik,k,545,106264,robot,8
yellow,TRUE,kizik,k,425,110692,robot,8
blue,FALSE,kizik,d,18,114713,robot,8
blue,TRUE,kizik,k,211,118928,robot,8
yellow,FALSE,daxby,k,353,123284,robot,8
blue,TRUE,daxby,d,212,127502,robot,8
blue,TRUE,daxby,d,364,131868,robot,8
blue,FALSE,kizik,d,2998,58971,robot,36
blue,TRUE,daxby,d,2340,65317,robot,36
yellow,TRUE,daxby,d,873,70194,robot,36
blue,TRUE,daxby,d,311,74511,robot,36
yellow,FALSE,daxby,k,315,78829,robot,36
yellow,FALSE,daxby,k,243,83078,robot,36
yellow,FALSE,daxby,k,237,87320,robot,36
yellow,FALSE,kizik,d,173,91496,robot,36
blue,TRUE,daxby,d,320,95820,robot,36
blue,TRUE,daxby,d,270,100095,robot,36
blue,FALSE,kizik,d,264,104365,robot,36
blue,TRUE,daxby,d,5464,113833,robot,36
blue,TRUE,daxby,d,338,118176,robot,36
blue,TRUE,daxby,d,236,122415,robot,36
blue,FALSE,kizik,d,466,126887,robot,36
yellow,FALSE,kizik,d,207,131098,robot,36
blue,TRUE,daxby,d,250,135353,robot,36
blue,FALSE,kizik,d,228,139585,robot,36
blue,TRUE,daxby,d,3054,28398,robot,18
yellow,TRUE,daxby,d,1170,33580,robot,18
yellow,FALSE,kizik,d,1226,38812,robot,18
yellow,TRUE,kizik,k,866,43686,robot,18
blue,TRUE,daxby,d,632,48324,robot,18
blue,TRUE,daxby,d,394,52726,robot,18
blue,FALSE,kizik,d,392,57126,robot,18
yellow,FALSE,daxby,k,830,61966,robot,18
blue,TRUE,daxby,d,410,66382,robot,18
yellow,FALSE,daxby,k,1874,78630,robot,18
yellow,FALSE,daxby,k,408,83054,robot,18
blue,FALSE,daxby,k,416,87480,robot,18
blue,TRUE,daxby,d,282,91772,robot,18
blue,TRUE,daxby,d,356,96140,robot,18
blue,FALSE,kizik,d,912,101060,robot,18
blue,FALSE,kizik,d,30,105100,robot,18
blue,FALSE,kizik,d,262,109372,robot,18
blue,TRUE,daxby,d,132,113520,robot,18
