pid,assignment_id,worker_id
0,3NJM2BJS4W6XCRSB47Q1JJ5T8FTPC3,A1D6XHHHMLC3VY
1,3P529IW9KYLEOIXN3HNVA8HC0I5LFX,A2MKXI4KCRRI7Y
2,392CY0QWG1R201SSYXUZROSTUOD4IP,A35EI6GDSC0EY8
3,3OVR4I9USPJFHZGBB5Z80QJFLYJQ43,A4J4GGMKJ68L0
