debugH2JCT6:debugD9RC3Y,initialized,0,,1525298500976
debugH2JCT6:debugD9RC3Y,window_resize,0,"[1024, 768]",1525298500976
A35EI6GDSC0EY8:392CY0QWG1R201SSYXUZROSTUOD4IP,initialized,0,,1525298534338
A35EI6GDSC0EY8:392CY0QWG1R201SSYXUZROSTUOD4IP,window_resize,0,"[1336, 664]",1525298534338
A3S2R1NK6HZ9KP:3FFJ6VRIL1OL1DARFW7XFL2GDC4I0U,initialized,0,,1525301262985
A3S2R1NK6HZ9KP:3FFJ6VRIL1OL1DARFW7XFL2GDC4I0U,window_resize,0,"[1024, 768]",1525301262985
A1D6XHHHMLC3VY:3NJM2BJS4W6XCRSB47Q1JJ5T8FTPC3,initialized,0,,1525302419994
A1D6XHHHMLC3VY:3NJM2BJS4W6XCRSB47Q1JJ5T8FTPC3,window_resize,0,"[1024, 713]",1525302419994
A1D6XHHHMLC3VY:3NJM2BJS4W6XCRSB47Q1JJ5T8FTPC3,focus,156045,off,1525302576039
A1D6XHHHMLC3VY:3NJM2BJS4W6XCRSB47Q1JJ5T8FTPC3,window_resize,11565,"[1023, 700]",1525302587604
A1D6XHHHMLC3VY:3NJM2BJS4W6XCRSB47Q1JJ5T8FTPC3,focus,7219,on,1525302594823
