A35EI6GDSC0EY8:392CY0QWG1R201SSYXUZROSTUOD4IP,15,1525298686804,"{""internal_node_id"": ""0.0-6.0-3.0"", ""color"": ""blue"", ""time_elapsed"": 151548, ""trial_index"": 15, ""rt"": 870, ""correct"": true, ""group"": ""daxby"", ""response"": ""d"", ""trial_type"": ""robot""}"
A35EI6GDSC0EY8:392CY0QWG1R201SSYXUZROSTUOD4IP,16,1525298692702,"{""internal_node_id"": ""0.0-6.0-2.0"", ""color"": ""blue"", ""time_elapsed"": 157447, ""trial_index"": 16, ""rt"": 1892, ""correct"": false, ""group"": ""daxby"", ""response"": ""k"", ""trial_type"": ""robot""}"
A35EI6GDSC0EY8:392CY0QWG1R201SSYXUZROSTUOD4IP,17,1525298698080,"{""internal_node_id"": ""0.0-6.0-8.0"", ""color"": ""yellow"", ""time_elapsed"": 162825, ""trial_index"": 17, ""rt"": 1367, ""correct"": true, ""group"": ""daxby"", ""response"": ""d"", ""trial_type"": ""robot""}"
A35EI6GDSC0EY8:392CY0QWG1R201SSYXUZROSTUOD4IP,18,1525298702917,"{""internal_node_id"": ""0.0-6.0-6.0"", ""color"": ""yellow"", ""time_elapsed"": 167662, ""trial_index"": 18, ""rt"": 821, ""correct"": false, ""group"": ""kizik"", ""response"": ""d"", ""trial_type"": ""robot""}"
A35EI6GDSC0EY8:392CY0QWG1R201SSYXUZROSTUOD4IP,19,1525298707546,"{""internal_node_id"": ""0.0-6.0-1.0"", ""color"": ""blue"", ""time_elapsed"": 172291, ""trial_index"": 19, ""rt"": 621, ""correct"": true, ""group"": ""daxby"", ""response"": ""d"", ""trial_type"": ""robot""}"
A35EI6GDSC0EY8:392CY0QWG1R201SSYXUZROSTUOD4IP,20,1525298712265,"{""internal_node_id"": ""0.0-6.0-5.0"", ""color"": ""blue"", ""time_elapsed"": 177010, ""trial_index"": 20, ""rt"": 710, ""correct"": true, ""group"": ""daxby"", ""response"": ""d"", ""trial_type"": ""robot""}"
A35EI6GDSC0EY8:392CY0QWG1R201SSYXUZROSTUOD4IP,21,1525298717634,"{""internal_node_id"": ""0.0-6.0-4.0"", ""color"": ""yellow"", ""time_elapsed"": 182378, ""trial_index"": 21, ""rt"": 1354, ""correct"": false, ""group"": ""daxby"", ""response"": ""k"", ""trial_type"": ""robot""}"
A35EI6GDSC0EY8:392CY0QWG1R201SSYXUZROSTUOD4IP,22,1525298722123,"{""internal_node_id"": ""0.0-6.0-0.0"", ""color"": ""blue"", ""time_elapsed"": 186868, ""trial_index"": 22, ""rt"": 483, ""correct"": true, ""group"": ""daxby"", ""response"": ""d"", ""trial_type"": ""robot""}"
A35EI6GDSC0EY8:392CY0QWG1R201SSYXUZROSTUOD4IP,23,1525298733775,"{""internal_node_id"": ""0.0-7.0"", ""time_elapsed"": 198520, ""trial_index"": 23, ""responses"": {""Q0"": ""2987684""}, ""rt"": 10645, ""trial_type"": ""survey-text-force""}"
A35EI6GDSC0EY8:392CY0QWG1R201SSYXUZROSTUOD4IP,24,1525298750553,"{""responses"": 25, ""internal_node_id"": ""0.0-8.0"", ""trial_type"": ""slider"", ""trial_index"": 24, ""time_elapsed"": 215298}"
