responses,rt,time_elapsed,trial_type,pid
{u'Q0': u'2987684'},35284.0,62319,survey-text-force,2
{u'Q0': u'2987684'},6892.0,134038,survey-text-force,2
{u'Q0': u'2987684'},10645.0,198520,survey-text-force,2
{u'Q0': u'9155215'},48825.0,246435,survey-text-force,0
{u'Q0': u'9155215'},8548.0,358783,survey-text-force,0
{u'Q0': u'9155215'},6865.0,419879,survey-text-force,0
