color,correct,group,response,rt,time_elapsed,trial_type,pid
blue,False,kizik,d,3901.0,77556,robot,2
blue,False,daxby,k,2810.0,84377,robot,2
blue,False,kizik,d,2250.0,90635,robot,2
blue,True,daxby,d,1243.0,95885,robot,2
yellow,False,daxby,k,2646.0,102540,robot,2
yellow,False,daxby,k,2222.0,108769,robot,2
blue,False,kizik,d,1712.0,114495,robot,2
blue,True,daxby,d,1551.0,120058,robot,2
yellow,True,kizik,k,2074.0,126139,robot,2
blue,False,kizik,d,1680.0,146666,robot,2
blue,True,daxby,d,870.0,151548,robot,2
blue,False,daxby,k,1892.0,157447,robot,2
yellow,True,daxby,d,1367.0,162825,robot,2
yellow,False,kizik,d,821.0,167662,robot,2
blue,True,daxby,d,621.0,172291,robot,2
blue,True,daxby,d,710.0,177010,robot,2
yellow,False,daxby,k,1354.0,182378,robot,2
blue,True,daxby,d,483.0,186868,robot,2
yellow,False,kizik,d,6956.0,42008,robot,4
yellow,False,daxby,k,1293.0,47305,robot,4
blue,True,daxby,d,620.0,51930,robot,4
blue,False,kizik,d,663.0,56597,robot,4
blue,False,kizik,d,83.0,60685,robot,4
yellow,True,daxby,d,476.0,65164,robot,4
blue,True,daxby,d,380.0,69550,robot,4
blue,True,daxby,d,328.0,73885,robot,4
blue,False,kizik,d,332.0,78223,robot,4
blue,True,daxby,d,264.0,82492,robot,4
yellow,True,daxby,d,0.0,86499,robot,4
yellow,True,daxby,d,16.0,90518,robot,4
blue,True,daxby,d,219.0,94742,robot,4
blue,False,kizik,d,132.0,98879,robot,4
blue,True,daxby,d,62.0,102944,robot,4
blue,True,daxby,d,269.0,107216,robot,4
yellow,False,kizik,d,238.0,111460,robot,4
blue,True,daxby,d,260.0,115721,robot,4
blue,True,daxby,d,3525.0,261829,robot,0
yellow,False,daxby,k,2709.0,268561,robot,0
yellow,False,kizik,d,4423.0,276992,robot,0
blue,True,daxby,d,2073.0,283070,robot,0
yellow,False,daxby,k,3988.0,291093,robot,0
blue,False,daxby,k,34203.0,329304,robot,0
blue,False,daxby,k,4340.0,337657,robot,0
yellow,True,daxby,d,1060.0,342725,robot,0
blue,False,kizik,d,2313.0,349173,robot,0
yellow,False,daxby,k,2281.0,368643,robot,0
blue,False,kizik,d,2274.0,374923,robot,0
yellow,False,kizik,d,2665.0,381594,robot,0
blue,False,daxby,k,921.0,386523,robot,0
blue,False,kizik,d,800.0,391387,robot,0
blue,False,daxby,k,982.0,396385,robot,0
blue,False,daxby,k,789.0,401349,robot,0
blue,True,daxby,d,1811.0,407196,robot,0
blue,False,kizik,d,768.0,412013,robot,0
yellow,True,daxby,d,4926.0,41309,robot,1
blue,False,daxby,k,1239.0,46552,robot,1
blue,True,daxby,d,1795.0,52351,robot,1
yellow,True,daxby,d,931.0,57313,robot,1
yellow,False,kizik,d,487.0,61803,robot,1
blue,True,daxby,d,267.0,66109,robot,1
blue,True,daxby,d,292.0,70404,robot,1
blue,True,daxby,d,382.0,74792,robot,1
blue,False,kizik,d,298.0,79099,robot,1
yellow,True,daxby,d,571.0,83674,robot,1
blue,False,kizik,d,380.0,88057,robot,1
yellow,True,daxby,d,315.0,92375,robot,1
blue,True,daxby,d,477.0,96855,robot,1
blue,True,daxby,d,357.0,101214,robot,1
blue,False,kizik,d,343.0,105561,robot,1
blue,True,daxby,d,237.0,109802,robot,1
yellow,False,kizik,d,666.0,114509,robot,1
blue,False,kizik,d,438.0,118989,robot,1
yellow,False,kizik,d,8445.0,19709,robot,3
blue,False,daxby,k,2428.0,26141,robot,3
blue,True,daxby,d,16156.0,46308,robot,3
yellow,False,daxby,k,653.0,50964,robot,3
blue,True,daxby,d,2866.0,57833,robot,3
yellow,True,daxby,d,686.0,62603,robot,3
blue,True,daxby,d,596.0,67202,robot,3
yellow,True,daxby,d,140.0,71346,robot,3
blue,True,daxby,d,6.0,75353,robot,3
yellow,False,kizik,d,117.0,79474,robot,3
blue,True,daxby,d,124.0,83602,robot,3
blue,False,kizik,d,133.0,87736,robot,3
blue,False,kizik,d,38.0,91777,robot,3
yellow,True,daxby,d,687.0,96466,robot,3
blue,True,daxby,d,422.0,100890,robot,3
blue,True,daxby,d,428.0,105320,robot,3
blue,False,kizik,d,454.0,109777,robot,3
blue,False,kizik,d,101.0,113881,robot,3
